species,watering_frequency_days,fertilizing_frequency_days,sunlight_needs
Syringa pubescens subsp. patula 'Miss Kim',7,365,Full sun
Abelia,7,365,"Full, Partial"
Actaea,7,365,partial shade
Yucca filamentosa,7,90,Full sun to partial shade
Aeonium,7,30,"Full, partial"
African Daisy,7,30,Full sun
African Iris,7,60,"partial, full"
African Marigold,7,30,full sun
African Milk Tree,7,30,bright indirect light or partial sun
African Spear Plant,7,30,full sunlight or bright filtered light
Agapanthus,7,60,"Full sun, part shade"
Agastache,7,365,full sun
Agave,7,365,full sun
Aglaonema Pictum Tricolor,7,14,partial
Allium,4,90,Full sun
Almond Tree,7,365,"Full sun, at least six to eight hours"
Alocasia,7,30,partial
Alocasia azlanii,7,30,"bright, indirect"
Alocasia Black Velvet,7,14,bright but indirect light
Alocasia baginda 'Dragon Scale',7,14,bright indirect light
Alocasia micholitziana'Frydek',7,30,"bright, indirect light"
Alocasia Jacklyn,7,30,partial
Alocasia Maharani,7,30,"partial, indirect"
Alocasia Melo,7,30,"bright, indirect light"
Alocasia Odora,7,14,partial shade
Alocasia Pink Dragon,7,14,partial
Alocasia Polly,7,14,part shade
Alocasia Regal Shield,7,30,"bright, indirect light"
Alocasia Sarian,7,14,"bright, indirect light"
Alocasia Silver Dragon,7,14,"bright, indirect light"
Alocasia Stingray,7,15,partial
Alocasia Tiny Dancer,7,21,"partial, indirect"
Alocasia Wentii,3,21,"bright, indirect light"
Alocasia Zebrina,7,30,partial
Aloe Ferox,14,365,Full sun
Pilea cadierei,4,30,"bright, indirect light"
Lobularia maritima,7,30,Full sun to partial shade
Amaranth,7,0,"Full, partial"
Amaryllis,7,14,partial
Physocarpus opulifolius 'Jefam' AMBER JUBILEE,7,365,Full sun to partial shade
American Elderberry,7,365,"Full, partial"
American Ginseng,7,365,partial shade
American Hornbeam,7,365,Partial Shade to Full Sun
American Sweetgum,7,1095,full sun
Acer ginnala,7,30,full sun to partial shade
Anaheim Pepper,7,21,"Full sun, 6-8 hours of direct sunlight per day"
Anemone,7,365,partial
Angel's Trumpet,1,7,"Full sun, 6-8 hours daily"
Angelica,7,365,partial sun to full sun
Sedum rupestre 'Angelina',7,365,Full sun to partial sun
Angelonia angustifolia,7,365,Full sun
Anise Hyssop,7,730,Full sun
Annabelle Hydrangea,3,365,partial shade
Annual Vinca,7,30,Full sun to partial shade
Anthurium,7,7,"bright, indirect sunlight"
Anthurium clarinervium,7,60,bright indirect light
Anthurium crystallinum,7,30,"bright, indirect light"
Anthurium Veitchii,7,30,"bright, indirect light"
Apple Mint,1,28,partial shade to full sun
Arabian Jasmine,3,30,Full to partial sun
Dypsis lutescens,7,30,"bright, full, or filtered sunlight"
Cupressus arizonica,30,0,full sun
Aronia melanocarpa,7,365,Full sun
Arrowhead Vine,7,30,partial
Arrowwood Viburnum,7,365,Full to partial sun
Artemisia,14,365,full sun
Artichoke,3,30,Full sun
Arugula,1,0,Full sun to part shade
Asiatic Jasmine,7,365,partial shade
Asiatic Lily,7,365,Full or Partial
Asparagus officinalis,7,365,full sun
"Asparagus aethiopicus, A. densiflorus",1,7,partial shade
Asplenium Antiquum,7,30,partial shade
Asters,7,15,Full sun
Astilbe,7,365,partial
Aubrieta,7,365,"Full, partial"
Cyathea cooperi,7,30,partial sun
Austrian Pine,7,365,Full sun
Clusia rosea,7,120,"Full sun, partial shade"
Autumn Blaze Maple Tree,7,365,"Full, partial"
Autumn Crocus,7,365,"Full, partial"
Autumn Fern,7,365,partial or full shade
Hylotelephium telephium 'Herbstfreude',14,365,full sunlight
Autumn Sage,7,365,"Full, partial"
Persea americana,7,30,"Full sun, partial shade"
Azalea,7,365,partial
Gypsophila spp.,7,365,Full sun
Peperomia obtusifolia,14,30,partial
Soleirolia soleirolii,1,14,partial sun to shade
Bacopa,7,14,Full to part sun
Paspalum notatum,7,365,full sun
Ball Cactus,7,30,partial shade
Platycodon grandiflorus,7,365,Full sun to partial shade
Baltic Blue Pothos,7,30,medium to bright indirect light
Bambusa vulgaris,7,30,"Full, Partial"
Musaspp.,1,30,Full sun to partial shade
Yucca baccata,7,365,Full sun or part shade
Bartlett Pear,7,365,Full sun
Basil,2,7,"Full sun, 6-8 hours daily"
Centaurea americana,7,365,Full sun to part shade
Callisia fragrans,2,30,indirect sun to partial shade
Tacca chantrieri,7,7,partial sun to dappled shade
Laurus nobilis,3,365,partial
Acanthus mollis,7,365,full sun to partial shade
Bearded Iris,7,365,Full sun
Beardtongue,7,365,full sun
Callicarpa americana,7,365,Full sun to partial shade
Leucanthemum x superbum 'Becky',7,365,Full sun
Bee Balm,7,365,"Full, Partial"
Solanum lycopersicum,7,21,Full sun
Beta vulgaris,7,14,"Full sun, at least six hours of direct sunlight"
Begonia,7,30,partial shade
Begonia Grandis,2,365,partial shade to shade
Begonia Maculata,3,14,partial
Capsicum annuum,7,14,Full sun
Belladonna,7,30,"Full, partial"
Bellflower,7,365,Full sun to partial shade
Moluccella laevis,7,365,"Full, partial"
Bergenia crassifolia,7,365,partial shade
Cynodon dactylon,7,365,Full sun
Solanum lycopersicum ‘Better Boy’,2,60,"Full sun, 6 to 8 or more hours per day"
Bidens,7,30,Full sun
Andropogon gerardi,7,365,full sun to partial sun
Hydrangea macrophylla,7,365,partial shade
Bigleaf Periwinkle,7,365,partial shade
Bing Cherry Tree,7,30,Full Sun
Asplenium nidus,7,30,partial shade
Bird of Paradise,1,7,bright indirect sunlight
Rudbeckia hirta,7,365,full sun
Black-Eyed Susan Vine,7,28,"Full, partial"
Black Bamboo,1,30,"Full, partial"
Citrullus lanatus‘Black Diamond’,3,14,"Full sun, at least six to eight hours of sun daily"
Black Gum Tree,7,365,Full to partial sunlight
Black Hills Spruce,7,365,"Full sun, at least 6-8 hours of direct sunlight"
Black Krim Tomato,1,21,Full sun
Black Lace Elderberry,7,90,Full to partial
Black Magic Rose,7,60,Full sun
Ophiopogon planiscapus'Nigrescens',7,365,partial shade to full sun
Blackberry,7,120,Full sun
Blackberry Lily,7,365,Full sun
Gaillardiax grandiflora,7,365,Full sun
Liatris spicata,7,365,full sun
Lamprocapnos spectabilis,7,365,partial shade
Lamprocapnos spectabilis,7,30,partial to full shade
Clerodendrum thomsoniae,7,14,bright light
Asclepias curassavica,7,365,Full sun
Iresine herbstii,7,14,partial shade to full sun
Scadoxus multiflorus,7,14,partial
Acer palmatum 'Bloodgood',3,365,partial
Syringax 'Penda',7,30,Full sun
Hydrangea macrophylla 'P11HM-11',7,90,partial shade
Cedrus atlantica,7,365,Full to partial sunlight
Caryopteris×clandonensis,7,30,Full sun
Sisyrinchium angustifolium,7,365,"Full, partial"
Festuca glauca,7,365,"Full, part"
Ilexxmeserveae'Blue Princess',7,365,partial
Blue Rug Juniper,7,365,Full sun
Picea pungens,7,365,Full sun
Blue Spur Flower,7,365,partial
Blue Star Creeper,3,365,partial
Blue Star Fern,7,30,"partial shade, medium-to-bright indirect light"
Blue Star Juniper,7,365,full sun
Blueberries,7,30,Full sun
Lupinusxhybrida,7,365,"Full sun, at least six hours of direct sunlight"
Hydrangea paniculata'Ilvobo',7,365,Full sun to partial shade
Bok Choy,7,0,"Full sun, part shade"
Bonsai Pine,7,30,Full sun
Borago officinalis,3,14,full sun to partial shade
Boston Fern,7,30,"bright, indirect light"
Boston Ivy,7,365,Full sun to partial shade
Acer negundo,7,30,full sun to partial shade
Buxus spp.,14,365,partial
Brass Buttons,3,90,partial
Spiraea prunifolia,7,365,Full sun to partial shade
Brassica oleraceavar.italica,7,14,Full sun
Bromeliad,7,14,"bright, indirect light"
"Cytisus spp., Genista spp.",7,365,Full sun
Brunfelsia,1,14,partial
Brassica oleraceavar.gemmifera,7,14,full sun
Buddha Belly Bamboo,7,0,"Full sun, partial sun"
Bouteloua dactyloides,7,180,full sun
Ajuga reptans,7,365,partial
Bunny Ear Cactus,30,365,"Full, direct sunlight for 6-8 hours"
Quercus macrocarpa,7,365,full sun
Euryops pectinatus,3,90,Full sun
Buddlejadavidii,7,365,full sun
Butterfly Pea Plant,7,180,Full sun
Asclepias tuberosa,7,365,Full sun
Butterhead Lettuce,1,7,Full sun to partial sun
Cucurbita moschata,7,21,full sun
Button Fern,7,60,medium to bright indirect light
Cephalanthus occidentalis,3,365,"Full, partial"
Brassica oleracea,7,21,Full sun
Cactus,10,120,"bright, indirect"
Caladium,1,14,indirect light or moderate shade
Calathea,7,30,partial shade
Calathea Beauty Star,7,30,"Bright, indirect"
Calathea Musaica,7,30,"bright, indirect light or filtered sunlight"
Calathea Orbifolia,2,30,"bright, indirect light"
Calathea Ornata,7,14,partial
Calathea Roseopicta,7,30,medium to bright indirect light
Calathea Warscewiczii,7,30,medium to bright indirect light
Calathea lietzei,7,30,filtered bright light
Calathea Zebrina,7,90,partial
Calendula officinalis,7,30,Full sun with partial shade
Calibrachoa,1,14,Full sun to part shade
Ceanothus spp.,14,365,Full Sun
Eschscholzia californica,14,365,Full
Camellia,3,60,partial shade
Cinnamomum camphora,7,730,"Full sun, partial shade"
Tsuga canadensis,7,365,Full to partial shade
Cuphea micropetala,7,365,"Full, partial"
Allium cepa,7,21,full sun
Iberis sempervirens,21,365,Full sun with partial shade
Canna,3,30,Full sun to partial sun
Canna Lily,2,60,full sun
Cantaloupe,7,21,Full sun
Canterbury Bells,3,30,"Full sun, 4-6 hours daily"
Tecoma capensis,7,365,Full sun or partial shade
Plumbago auriculata,7,182,Full sun to part shade
Capparis spinosa,7,30,Full sun
Elettaria cardamomum,3,15,partial shade
Zamia furfuracea,7,180,full sun
Ipomoea×multifida,7,365,"Full sun, partial sun"
Lobelia cardinalis,3,365,Full to partial
Dianthus caryophyllus,7,30,"Full, partial"
Calycanthus floridus,7,30,Full sun to shade
Daucus carota,7,14,Full sun to part shade
Carrotwood Tree,14,182,Full sun
Caryopteris,7,30,Full sun
Manihot esculenta,7,14,"full sun, partial sun"
Aspidistra elatior,7,30,partial shade
Chamaedorea cataractarum,7,30,"bright, indirect light"
Orthosiphon aristatus,7,30,full sun
Catalpa,7,365,Full sun
Rhododendron catawbiense,7,365,partial shade
Catmint,7,365,Full sun to partial shade
Nepeta cataria,7,365,full sun
Typha latifolia,1,365,full sun to partial shade
Cattleya Orchid,7,7,bright indirect light
Cauliflower,7,14,Full sun
Cayenne Pepper,2,30,Full sun
Cebu Blue Pothos,7,30,medium to bright indirect light
Cedrus libani,7,30,Full sun
Celebrity Tomato,1,21,Full sun
Centipede Grass,7,365,Full Sun
Agave americana,14,365,Full sun
Chamomile,7,365,Full sun to partial shade
Vitex agnus-castus,365,730,Full sun to part shade
Acalypha hispida,2,7,full sun to partial shade
Annona cherimola,7,90,Full morning sun with afternoon shade
Solanum lycopersicum 'Cherokee purple',7,14,"Full sun, 6-8 hours"
Prunus laurocerasus,7,30,partial shade to full sun
Solanum lycopersicum var. cerasiforme,1,7,Full sun
Prunus ssp.,3,14,partial
Salvia hispanica,7,30,full sun
Chicago Hardy Fig,7,365,Full sun
Cicer arietinum,7,42,"Full sun, 6-8 hours daily"
China Aster,3,15,"Full Sun, Partial Shade"
Radermachera sinica,7,30,medium to bright indirect light
Chinese Evergreen,7,30,partial
Livistona chinensis,7,60,Full to partial
Cynoglossum Amabile,3,365,"Full, Partial"
Loropetalum chinense,7,365,partial shade
Chionanthus retusus,7,365,Full sun to part shade
Chinese Holly,14,180,Full to partial sun
Physalis alkekengi,3,365,"Full, partial"
Pilea peperomioides,7,30,"bright, indirect light"
Paeonia lactiflora,7,90,"Full, partial"
Chinese Pistache,7,365,Full sun
Miscanthus sinensis,7,30,Full sun to partial shade
Viburnum macrocephalum,7,365,Full to Partial
Chinkapin Oak,7,365,full sun
Allium schoenoprasum,7,90,"Full sun, light shade"
Cosmos atrosanguineus,7,365,Full sun
Chocolate Mint,7,365,partial shade
Kalanchoe tomentosa,14,365,"bright, indirect light"
Akebia quinata,7,365,full sun to partial shade
Chokecherry,7,365,Full sun to partial shade
Christmas Cactus,7,30,partial shade or diffused light
Helleborus niger,7,365,partial shade in summer and full sun in winter
Chrysanthemum morifolium,7,30,full sun
Cilantro,7,30,partial sun
Cineraria,2,14,partial shade
Cinnamomum spp.,2,365,"Full sun, partial shade"
Cinnamon Basil,7,28,Full sun
Cissus Discolor,7,30,partial
Cymbopogon nardus,3,14,partial sun
Clematis,3,30,"Full sun, 6 hours per day"
Cleome,7,0,Full sun
Aloiampelos ciliaris,7,30,Full sun
Hydrangea anomala,7,365,Full sun to partial shade
Syzygium aromaticum,3,30,Full sun to partial shade
Celosia argentea var. cristata,2,30,"Full sun, partial shade"
Maxillaria tenuifolia,7,7,partial
Cocos nucifera,3,7,full sun
Coffea arabica,3,14,"bright, indirect light"
Coleus,1,30,partial
Brassica oleracea var. viridis,7,28,Full sun
Columbine,7,30,partial shade or full sun in cooler regions
Symphytum officinale,7,365,Full sun to partial shade
Juniperus communis,7,365,full sun
Common Tansy,7,30,full sun to part shade
Corylus avellana'Contorta',7,365,Full sun to partial shade
Acer palmatum 'Sango-kaku',7,365,Full sun to part shade
Heuchera spp.,7,365,partial shade
Coral Cactus,7,30,"Full, partial"
Lonicera sempervirens,7,365,Full sun
Cordyline terminalis,7,7,bright indirect
Coreopsis,7,365,Full sun
Salix matsudana 'Tortuosa',7,365,Full sun to partial shade
Dracaena fragrans,7,60,"bright, indirect light"
Centaurea cyanus,7,30,Full sun with some afternoon shade
Corsican Mint,3,14,partial shade
Cosmos,14,365,Full sun
Hibiscus mutabilis,7,30,Full sun to partial shade
Primula veris,1,365,part sun to part shade
Crassula,7,90,bright indirect light or direct sun for six hours of the day
Campanula rapunculoides,7,30,full sunlight to partial shade
Lysimachia nummularia,2,365,Full sun to partial shade
Juniperus horizontalis,7,365,full sun
Mazus reptans,7,365,Full sun to partial shade
Phlox stolonifera,7,365,Full sun to partial shade
Veronica filiformis,7,365,partial
Thymus spp.,10,365,Full sun
Muehlenbeckia axillaris,7,365,"Full, partial"
Crepe Myrtle,7,365,Full sun
Acer platanoides 'Crimson King',7,365,Full sun
Crimson Queen Japanese Maple Tree,3,30,partial
Crinum Lily,7,365,Full sun to partial shade
Microsorum musifolium,7,30,"bright, indirect light"
Crocosmia,7,365,"Full sun, partial sun"
Crocus,7,365,"Full, Partial"
Crossandra infundibuliformis,2,14,"bright, indirect sunlight"
Codiaeum variegatum,7,60,"Bright, indirect light"
Fritillaria imperialis,7,180,Full sun to partial shade
Cryptanthus,7,21,bright indirect light
Cucuzza Squash,7,30,Full sun
Cobaeascandens,3,90,Full sun
Silphium perfoliatum,7,365,Full sun
Cuphea,3,365,Full sun to partial shade
Murraya koenigii,2,365,full sun
Cyclamen persicum,7,14,bright indirect light
Cyclamen Persicum,7,30,"bright, indirect light"
Cymbidium Orchid,7,60,partial
Ipomoea quamoclit,3,30,Full sun
Daffodil,7,365,Full sun to partial shade
Dahlia,7,14,"Full sun, 6-8 hours a day"
Daphne,7,182,partial shade
Phoenix dactylifera,7,365,full sun
Dawn Redwood,7,365,Full sun
Daylily,7,365,"Full sun, partial shade"
Delphinium,2,60,Full sun to partial shade
Dendrobium Orchid,7,7,bright light for at least 6 hours daily
Cedrus deodara,7,365,Full sun to partial shade
Desert Rose,7,30,Full sun
Desert Spoon,14,365,Full sun
Desert Willow,30,365,Full sun
Euphorbia tithymaloides,14,30,"bright, indirect light"
Dianthus,7,365,full sun
Dieffenbachia,3,28,"bright, indirect sunlight"
Dieffenbachia Seguine,7,30,bright but indirect light
Dahlia spp.,3,30,Full sun
Dog Tail Cactus,7,30,full sun
Spathiphyllum wallisii 'Domino',7,42,"bright, indirect sunlight"
Sedum morganianum,30,0,"Full, partial"
Doublefile Viburnum,7,365,Full sun to part shade
Dracaena,7,30,bright indirect light
Dracaena Janet Craig,8,90,"low to medium, indirect"
Dracula Orchid,3,14,partial shade
Dracunculus vulgaris,7,30,Full sun to partial shade
Dracaena marginata,21,365,"bright, indirect light"
Dracaena draco,7,180,bright but indirect light
Hylocereus undatus,7,60,partial sun to full sun
Lemna minor,1,7,Full sun
Duranta erecta,7,30,full sun
Jacobaea maritima,7,365,full sun
Aristolochia macrophylla,7,365,Full to partial sunlight
Dwarf Alberta Spruce,7,365,Full sun
Dwarf Jade,30,30,bright indirect light
Ophiopogon japonicus'Nana',3,90,partial shade
Evolvulus glomeratus,7,30,Full sun
Dwarf Mugo Pine,7,365,Full sun
Dymondia margaretae,7,365,Full sun to partial shade
Solanum lycopersicum‘Early Girl’,3,14,Full sun
Easter Cactus,7,30,partial
Lilium longiflorum,3,90,full sun to partial shade
Opuntia humifusa,28,365,Full sun
Eastern Red Cedar,3,365,Full sun
Eastern White Pine,7,365,"Full, partial"
Echeveria,7,30,Full
Echinocereus,14,365,Full sun
Edamame,7,0,at least six hours of sun daily
Leontopodium alpinum,7,365,"Full, partial"
Elatior Begonia,6,14,"indirect light, partial sun"
Elephant Ear Plant,1,14,partial shade or dappled sun
Euonymus fortunei,14,365,partial sun to partial shade
Emerald Green Arborvitae,7,365,Full sun to partial shade
Hydrangea macrophylla,3,365,partial
English Bluebells,7,30,partial
English Daisy,3,30,partial
English Ivy,7,14,part shade to full shade
Lavandula angustifolia,7,365,"Full sun, partial shade"
English Walnut,7,365,Full sun
Epimedium,7,365,partial shade
Epipremnum Pinnatum,7,14,bright but indirect sunlight
Eucalyptus cinerea,7,30,full sun
Euphorbia,7,30,full sun
Euphorbia Ingens,7,90,Full
Eureka Lemon Tree,1,180,Full sun
Fagus sylvatica,7,365,Full sun to partial shade
European Fan Palm,7,30,Full sun to partial shade
Sorbus aucuparia,7,365,"Full sun, partial sun"
Evening Primrose,3,90,Full sun to partial shade
Fragaria × ananassa 'Quinault',7,30,Full sun with dappled afternoon sun
Fall Fiesta Sugar Maple,3,365,"Full sun, partial shade"
